latitude,longitude,altura,speed
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
